"Date","Close","Volume"
"2022-01-02T23:00:00.000Z","33.22","6,607,100.00"
"2022-01-09T23:00:00.000Z","33.50","7,216,200.00"
"2022-01-16T23:00:00.000Z","32.41","7,836,600.00"
"2022-01-23T23:00:00.000Z","31.94","12,735,000.00"
"2022-01-30T23:00:00.000Z","32.70","9,595,600.00"
"2022-02-06T23:00:00.000Z","32.13","14,344,100.00"
"2022-02-13T23:00:00.000Z","32.13","10,413,900.00"
"2022-02-20T23:00:00.000Z","31.37","18,616,100.00"
"2022-02-27T23:00:00.000Z","26.58","28,357,200.00"
"2022-03-06T23:00:00.000Z","26.85","17,378,900.00"
"2022-03-13T23:00:00.000Z","28.76","16,495,400.00"
"2022-03-20T23:00:00.000Z","29.03","5,518,900.00"
"2022-03-27T22:00:00.000Z","29.97","7,267,200.00"
"2022-04-03T22:00:00.000Z","29.15","10,057,900.00"
"2022-04-10T22:00:00.000Z","29.07","7,049,200.00"
"2022-04-17T22:00:00.000Z","28.34","5,157,500.00"
"2022-04-24T22:00:00.000Z","27.43","7,706,200.00"
"2022-05-01T22:00:00.000Z","27.00","8,005,300.00"
"2022-05-08T22:00:00.000Z","27.11","10,902,200.00"
"2022-05-15T22:00:00.000Z","27.56","6,615,000.00"
"2022-05-22T22:00:00.000Z","28.97","4,617,900.00"
"2022-05-29T22:00:00.000Z","28.35","3,203,000.00"
"2022-06-05T22:00:00.000Z","25.26","5,165,700.00"
"2022-06-12T22:00:00.000Z","24.41","9,130,900.00"
"2022-06-19T22:00:00.000Z","25.16","4,809,100.00"
"2022-06-26T22:00:00.000Z","24.21","4,876,900.00"
"2022-07-03T22:00:00.000Z","23.70","3,148,300.00"
"2022-07-10T22:00:00.000Z","22.46","8,898,500.00"
"2022-07-17T22:00:00.000Z","23.10","8,673,500.00"
"2022-07-24T22:00:00.000Z","24.64","10,138,100.00"
"2022-07-31T22:00:00.000Z","24.62","3,024,800.00"
"2022-08-07T22:00:00.000Z","25.41","4,136,200.00"
"2022-08-14T22:00:00.000Z","24.27","3,098,300.00"
"2022-08-21T22:00:00.000Z","23.30","3,785,800.00"
"2022-08-28T22:00:00.000Z","22.81","4,301,600.00"
"2022-09-04T22:00:00.000Z","23.82","3,407,800.00"
"2022-09-11T22:00:00.000Z","23.75","4,926,300.00"
"2022-09-18T22:00:00.000Z","21.92","5,610,800.00"
"2022-09-25T22:00:00.000Z","21.50","6,590,000.00"
"2022-10-02T22:00:00.000Z","21.74","4,155,000.00"
"2022-10-09T22:00:00.000Z","21.75","4,542,500.00"
"2022-10-16T22:00:00.000Z","23.02","3,836,900.00"
"2022-10-23T22:00:00.000Z","24.27","3,498,100.00"
"2022-10-30T23:00:00.000Z","25.00","3,640,700.00"
"2022-11-06T23:00:00.000Z","27.36","4,721,600.00"
"2022-11-13T23:00:00.000Z","27.28","4,246,000.00"
"2022-11-20T23:00:00.000Z","27.69","1,558,400.00"
"2022-11-27T23:00:00.000Z","27.96","2,918,200.00"
"2022-12-04T23:00:00.000Z","27.36","4,154,600.00"
"2022-12-11T23:00:00.000Z","26.61","3,561,900.00"
"2022-12-18T23:00:00.000Z","26.99","2,340,100.00"
"2022-12-25T23:00:00.000Z","26.94","1,254,200.00"
"2023-01-01T23:00:00.000Z","28.44","2,225,700.00"
"2023-01-08T23:00:00.000Z","29.62","1,972,300.00"
"2023-01-15T23:00:00.000Z","29.53","1,264,900.00"
"2023-01-22T23:00:00.000Z","30.00","1,616,400.00"
"2023-01-29T23:00:00.000Z","30.05","2,676,200.00"
"2023-02-05T23:00:00.000Z","30.28","2,043,100.00"
"2023-02-12T23:00:00.000Z","30.81","2,410,200.00"
"2023-02-19T23:00:00.000Z","29.63","1,836,700.00"
"2023-02-26T23:00:00.000Z","30.81","4,908,000.00"
"2023-03-05T23:00:00.000Z","29.64","2,007,100.00"
"2023-03-12T23:00:00.000Z","28.09","4,092,800.00"
"2023-03-19T23:00:00.000Z","29.08","2,344,600.00"
"2023-03-26T22:00:00.000Z","30.43","2,597,400.00"
"2023-04-02T22:00:00.000Z","30.88","1,732,000.00"
"2023-04-09T22:00:00.000Z","31.74","1,629,100.00"
"2023-04-16T22:00:00.000Z","31.69","1,309,800.00"
"2023-04-23T22:00:00.000Z","31.66","2,808,200.00"
"2023-04-30T22:00:00.000Z","32.00","1,583,500.00"
"2023-05-07T22:00:00.000Z","31.32","1,419,900.00"
"2023-05-14T22:00:00.000Z","31.23","1,292,400.00"
"2023-05-21T22:00:00.000Z","30.47","1,917,800.00"
"2023-05-28T22:00:00.000Z","30.78","1,574,600.00"
"2023-06-04T22:00:00.000Z","30.24","1,177,500.00"
"2023-06-11T22:00:00.000Z","31.44","1,439,700.00"
"2023-06-18T22:00:00.000Z","30.57","796,500.00"
"2023-06-25T22:00:00.000Z","31.83","1,352,700.00"
"2023-07-02T22:00:00.000Z","31.35","1,611,800.00"
"2023-07-09T22:00:00.000Z","32.97","1,484,400.00"
"2023-07-16T22:00:00.000Z","32.96","1,135,400.00"
"2023-07-23T22:00:00.000Z","33.35","1,581,200.00"
"2023-07-30T22:00:00.000Z","32.13","5,356,600.00"
"2023-08-06T22:00:00.000Z","31.94","2,808,200.00"
"2023-08-13T22:00:00.000Z","31.08","1,332,200.00"
"2023-08-20T22:00:00.000Z","31.51","1,237,700.00"
"2023-08-27T22:00:00.000Z","31.84","1,333,500.00"
"2023-09-03T22:00:00.000Z","31.12","1,108,400.00"
"2023-09-10T22:00:00.000Z","31.59","932,900.00"
"2023-09-17T22:00:00.000Z","31.02","2,046,000.00"
"2023-09-24T22:00:00.000Z","30.42","1,847,800.00"
"2023-10-01T22:00:00.000Z","30.11","3,277,600.00"
"2023-10-08T22:00:00.000Z","30.07","3,900,100.00"
"2023-10-15T22:00:00.000Z","29.59","2,937,500.00"
"2023-10-22T22:00:00.000Z","29.08","3,803,500.00"
"2023-10-29T23:00:00.000Z","31.34","3,419,100.00"
"2023-11-05T23:00:00.000Z","31.15","3,454,600.00"
"2023-11-12T23:00:00.000Z","32.55","1,269,700.00"
"2023-11-19T23:00:00.000Z","32.80","990,200.00"
"2023-11-26T23:00:00.000Z","33.15","1,058,500.00"
"2023-12-03T23:00:00.000Z","33.37","789,100.00"
"2023-12-10T23:00:00.000Z","33.61","1,576,100.00"
"2023-12-17T23:00:00.000Z","33.75","1,363,300.00"
"2023-12-24T23:00:00.000Z","33.93","829,500.00"
"2023-12-31T23:00:00.000Z","33.61","1,207,600.00"
"2024-01-07T23:00:00.000Z","33.89","2,190,200.00"
"2024-01-14T23:00:00.000Z","33.48","3,580,300.00"
"2024-01-21T23:00:00.000Z","33.46","1,565,000.00"
"2024-01-28T23:00:00.000Z","33.63","1,731,100.00"
"2024-02-04T23:00:00.000Z","33.94","1,004,600.00"
"2024-02-11T23:00:00.000Z","34.40","1,540,700.00"
"2024-02-18T23:00:00.000Z","35.72","1,171,600.00"
"2024-02-25T23:00:00.000Z","35.91","1,342,700.00"
"2024-03-03T23:00:00.000Z","36.67","1,333,600.00"
"2024-03-10T23:00:00.000Z","37.23","1,235,700.00"
"2024-03-17T23:00:00.000Z","37.39","1,470,300.00"
"2024-03-24T23:00:00.000Z","37.72","1,760,500.00"
"2024-03-31T22:00:00.000Z","37.07","2,941,700.00"
"2024-04-07T22:00:00.000Z","35.97","1,794,700.00"
"2024-04-14T22:00:00.000Z","36.39","2,455,800.00"
"2024-04-21T22:00:00.000Z","37.24","1,506,400.00"
"2024-04-28T22:00:00.000Z","36.96","1,967,600.00"
"2024-05-05T22:00:00.000Z","38.19","893,500.00"
"2024-05-12T22:00:00.000Z","39.34","1,946,000.00"
"2024-05-19T22:00:00.000Z","38.64","964,400.00"
"2024-05-26T22:00:00.000Z","38.83","624,000.00"
"2024-06-02T22:00:00.000Z","38.53","813,800.00"
"2024-06-09T22:00:00.000Z","35.29","1,601,600.00"
"2024-06-16T22:00:00.000Z","36.01","1,195,200.00"
"2024-06-23T22:00:00.000Z","35.85","728,600.00"
"2024-06-30T22:00:00.000Z","36.98","1,162,400.00"
"2024-07-07T22:00:00.000Z","37.77","661,700.00"
"2024-07-14T22:00:00.000Z","37.46","768,100.00"
"2024-07-21T22:00:00.000Z","37.50","1,187,500.00"
"2024-07-28T22:00:00.000Z","35.87","1,984,300.00"
"2024-08-04T22:00:00.000Z","35.56","1,847,000.00"
"2024-08-11T22:00:00.000Z","37.21","1,335,500.00"
"2024-08-18T22:00:00.000Z","38.44","1,277,600.00"
"2024-08-25T22:00:00.000Z","38.85","692,300.00"
"2024-09-01T22:00:00.000Z","37.74","1,742,900.00"
"2024-09-08T22:00:00.000Z","38.11","956,100.00"
"2024-09-15T22:00:00.000Z","38.58","1,827,400.00"
"2024-09-22T22:00:00.000Z","39.44","1,268,200.00"
"2024-09-29T22:00:00.000Z","37.82","3,109,800.00"
"2024-10-06T22:00:00.000Z","38.33","644,800.00"
"2024-10-13T22:00:00.000Z","39.19","3,075,400.00"
"2024-10-20T22:00:00.000Z","38.30","5,377,400.00"
"2024-10-27T23:00:00.000Z","38.21","2,064,300.00"
"2024-11-03T23:00:00.000Z","37.03","1,570,900.00"
"2024-11-10T23:00:00.000Z","36.56","1,201,500.00"
"2024-11-17T23:00:00.000Z","36.00","1,743,600.00"
"2024-11-24T23:00:00.000Z","36.34","1,063,900.00"
"2024-12-01T23:00:00.000Z","37.76","1,581,700.00"
"2024-12-08T23:00:00.000Z","37.65","492,800.00"
"2024-12-15T23:00:00.000Z","35.60","1,573,200.00"
"2024-12-22T23:00:00.000Z","36.03","952,900.00"
"2024-12-29T23:00:00.000Z","35.67","1,620,200.00"
"2025-01-05T23:00:00.000Z","36.50","1,263,400.00"